review,place
"Hello friends, I would like to share about the  lord vithoba s place of Pandharpur . Pandharpur ""s called of South KAshi . I was panned many years ago for visit at pandharpur, but we cannot mannage the visit at pandharpur because my office  work, but this time, I was fully planned going to pandharpur.  and we can done with family  and give darshan of lord Vithoba""s . its nice place, this place temple of vithoba situated at Chandrabhaga river . its major holy place in a Maharashtra its temple femous for vithoba temple this situated at bhima river , bhima and chandrabhaga also same name  and same name in a pandharpur . its safty for family and each other . good place, good climate in a pandharpur . I recommed to all, please visit this holy place . thanking you",Pandharpur
"Baralikadu Tourist place is very popular. This place accessibility is good and I like this place, I come here with my friends in last month. This place is very attractive and good for summer holidays. This place location is good and natural looking is very nice. This place is not any good natural local sightseeing near of this place. This place have long distance with developed area so no any many hotel near of this place and good transport links with other city and places. This place have many transport service for going other places. This place is natural place and spread in long area so security is not proper work in this place and disturb many time but maintenance is not good. This place is good for holidays but not for a long time.",Baralikadu
I really like  this place its awesome nice wonderful area it is good to go there in summer because this area is full of cold everybody enjoy it because person can go who have depression job tention etc will get a relief because it is more nature beauty and in morning we can see snow over there sometime we can see wild animal there,Kakkadampoyil
If you visit MP and Miss chindwara than you have not seen anything. Parineeti Chopra's favourate destination. Main places to see here but Deogarh fort is main attraction. Hotels are easily available here. Safe,Chhindwara
"Its a must see place in andaman trip. Scuba diving, and snoorkelling are main attraction. The Radhanagar beach is wonderfull place to play. clean and safe. The packages only covers this. You have to pay extra for other places like kaalapattar beach, eliphanta beach etc.  Nothing much in Kaalapattar beach you can take some photo. But you must visit eliphanta beach for fun Water games. ( Travelling  costs you rs. 750 per person) Special  Banana is famous fruit dont forget to eat. The agents/people in havelock are roude, rough and money minded  compare to all other part of andaman. If you are pure vegitarian, food is major issue, but if you search you get one or two.  Tour is enjoyable if visitted in group. Hotels are available but book prior of visit. Keep an eye on weather as it is not safe during cyclones. Totally the island is bit costlier than other places nearby.",Havelock Island
Hi friends. Recent in may me and my family are visiting the tuljapur . Its so great place. In tuljapur having no direct railway tracks. By using buses we going safely or you are used your private vehicle also.i am going to our own vehicle. Their are climate are warm in summer season. The great and important place is temple of tuljabhavani. The story is that their was temple already but in Shivaji Maharaj mother says for success pray for tuljabhavani . And  that time tuljabhavani gave as talavar. Then after getting success Shivaji Maharaj construct jijau mahadvar. The get of tuljabhavani Temple. Its so beautiful .after get the ganpati temple then tuljabhavani stactu are their. The most beautiful that. For entry so long line are completed then going inside the temple. So types of People come there to see . Ans tutrist also their . For enjoying or seeing only that one place their no other spots . The many types of hotels and restaurants are available. For tutrist safety the police also their. This is family spot . And I love this spot. You also visit their. And see the historical time temple.,Tuljapur
"Hello friends I am going to share my views on the beautiful hill station manali.it is the most beautiful place of india.i have visited manali last month with my family and the experience was amazing.i have first time visited manali and its like heaven. Its a amazing place especially for the couples. Its is also known as  indias favaurite honeymoon destination. There are many point of attrection such as Rohtang pass, solang velly, Hadimba temple and rahala falls . The mountain and peeks looks awesome.The grenery on the mountains looks beautiful.The snow on the mountians looks very amazing and it shines like a silver on the peaks .",Manali
The fort is close to pune which is good . It is a good place for trekking. A early morning departure from pune and you might be back till 5 in the evening. The place needs maintenance . It is not fully intact but nine of the fort in india is fully intact. If you choose trekking then its ok but if you decided to ho to the base of fort by car or any vehicle the roads arent good . You can get high amount of traffic,Sinhagad
"Hi friends. Now I'm going to sharing my peaceful experience about kodaikanal. I gone to this hills station more than 3 times. We go to All the summer season. First of all kodaikanal is easily to accessible by bus, car, train. First we are gone to visit the BERIJAM LAKE. The lake was so different, excited with different climate. And then we gone to kodaikanal lake this lake also nice. Silver cascade falls, Bryant park , pillars rocks view point, kumbakkarai falls, chettiyar Park and moir point. The hotel and accommodation are so good. we stayed at GRAND PALACE hotel just 1km in centre of kodaikanal. Nice service, good lighting, room cleaness is good. The accommodation is just 2500rs only we have provided breakfast for all and we services are very good. The safety is better than the other hotels also All the friends and family members are just go and visit to the beautiful city of kodaikanal.",Kodaikanal
"Sinhagad is the best near by tourist place near by Pune it is only 37 km from pune.easly any one can go by bike and it is the best option to reach there. sinhagad is around 2000 years old fort.it has its won history. best time to visit sinhagad is rainy season. I visited this place many time with my friends, family. you can reach up on fort by stares or trek both options are available. in rainy season it is almost covered by fog and it continuously drizzle.with cold wind.in short weather on sinhagad is amazing.romantic, it is situated quite at height  and it is foggy so it feels live you are in clouds it feels awesome. there you can get variety of food.veg and non veg both in veg one special and yummy item is zhunka bhakar with thecha.and in rainy season kanda bhaji with tea while it is drizzling I advice every one should visit this place once in life time.",Sinhagad
